Date,Open,High,Low,Close,Volume,Adj Close
2016-07-22,13.845,13.89,13.785,13.85,2019200,13.85
2016-07-21,13.885,13.895,13.73,13.86,2981100,13.86
2016-07-20,13.935,13.94,13.775,13.84,3950300,13.84
2016-07-19,13.59,13.835,13.565,13.835,3466000,13.835
2016-07-18,13.735,13.805,13.595,13.625,1649700,13.625
2016-07-15,13.715,13.73,13.555,13.69,4622400,13.69
2016-07-14,13.865,13.935,13.575,13.685,3153800,13.685
2016-07-13,13.92,14.01,13.755,13.755,4095000,13.755
2016-07-12,13.965,14.09,13.885,13.935,6069500,13.935
2016-07-11,13.745,13.905,13.63,13.85,4249700,13.85
2016-07-08,13.59,13.71,13.545,13.63,3337300,13.63
2016-07-07,13.525,13.64,13.50,13.575,3536500,13.575
2016-07-06,13.40,13.465,13.28,13.43,6293700,13.43
2016-07-05,13.485,13.59,13.37,13.43,2979700,13.43
2016-07-04,13.615,13.695,13.42,13.55,1724700,13.55
2016-07-01,13.30,13.55,13.20,13.53,9879500,13.53
2016-06-30,12.945,13.225,12.785,13.20,11693900,13.20
2016-06-29,12.30,12.85,12.25,12.85,91336300,12.85
2016-06-28,12.62,12.96,12.52,12.895,11430800,12.895
2016-06-27,13.00,13.14,12.435,12.46,4101300,12.46
2016-06-24,12.355,13.055,12.12,12.845,4252600,12.845
